series,code,,set_name,supertype,rarity,card_number,card_title,pokemon,release_date,normal_price,holo_price,rev_holo_price,price
XY,,xy12-52,Evolutions,Pokémon,Rare Holo EX,52,Mewtwo-EX,150,11/2/2016,,4.04,,4.04
XY,,xy12-53,Evolutions,Pokémon,Rare Holo,53,Mew,151,11/2/2016,,5.48,4.99,5.48
XY,,xy12-54,Evolutions,Pokémon,Common,54,Sandshrew,27,11/2/2016,0.07,,0.4,0.4
XY,,xy12-55,Evolutions,Pokémon,Common,55,Diglett,50,11/2/2016,0.04,,0.35,0.35
XY,,xy12-56,Evolutions,Pokémon,Rare,56,Dugtrio,51,11/2/2016,0.14,,1.22,1.22
XY,,xy12-57,Evolutions,Pokémon,Common,57,Machop,66,11/2/2016,0.07,,0.41,0.41
XY,,xy12-58,Evolutions,Pokémon,Uncommon,58,Machoke,67,11/2/2016,0.14,,0.35,0.35
XY,,xy12-59,Evolutions,Pokémon,Rare Holo,59,Machamp,68,11/2/2016,,2.75,2.13,2.75
XY,,xy12-60,Evolutions,Pokémon,Rare BREAK,60,Machamp BREAK,68,11/2/2016,,1.65,,1.65
XY,,xy12-61,Evolutions,Pokémon,Common,61,Onix,95,11/2/2016,0.08,,0.3,0.3
XY,,xy12-62,Evolutions,Pokémon,Rare Holo,62,Hitmonchan,107,11/2/2016,,1.58,1.45,1.58
XY,,xy12-63,Evolutions,Pokémon,Rare Holo,63,Clefairy,35,11/2/2016,,1.28,1.31,1.31
XY,,xy12-64,Evolutions,Pokémon,Rare Holo EX,64,Pidgeot-EX,18,11/2/2016,,1.68,,1.68
XY,,xy12-65,Evolutions,Pokémon,Rare Holo EX,65,M Pidgeot-EX,18,11/2/2016,,2.6,,2.6
XY,,xy12-66,Evolutions,Pokémon,Common,66,Rattata,19,11/2/2016,0.09,,0.31,0.31
XY,,xy12-67,Evolutions,Pokémon,Rare,67,Raticate,20,11/2/2016,0.16,,1,1
XY,,xy12-68,Evolutions,Pokémon,Rare,68,Farfetch'd,83,11/2/2016,0.17,,1.16,1.16
XY,,xy12-69,Evolutions,Pokémon,Common,69,Doduo,84,11/2/2016,0.06,,0.31,0.31
XY,,xy12-70,Evolutions,Pokémon,Rare Holo,70,Chansey,113,11/2/2016,,1.55,1.89,1.89
XY,,xy12-71,Evolutions,Pokémon,Uncommon,71,Porygon,137,11/2/2016,0.09,,0.34,0.34
XY,,xy12-72,Evolutions,Pokémon,Rare Holo EX,72,Dragonite-EX,149,11/2/2016,,2.9,,2.9
XY,,xy12-73,Evolutions,Trainer,Uncommon,73,Blastoise Spirit Link,,11/2/2016,0.08,,1.17,1.17
XY,,xy12-74,Evolutions,Trainer,Uncommon,74,Brock's Grit,,11/2/2016,0.11,,0.33,0.33
XY,,xy12-75,Evolutions,Trainer,Uncommon,75,Charizard Spirit Link,,11/2/2016,0.15,,2.19,2.19
XY,,xy12-76,Evolutions,Trainer,Uncommon,76,Devolution Spray,,11/2/2016,0.08,,1.14,1.14
XY,,xy12-77,Evolutions,Trainer,Uncommon,77,Energy Retrieval,,11/2/2016,0.1,,1.17,1.17
XY,,xy12-78,Evolutions,Trainer,Uncommon,78,Full Heal,,11/2/2016,0.09,,0.96,0.96
XY,,xy12-79,Evolutions,Trainer,Uncommon,79,Maintenance,,11/2/2016,0.09,,1.33,1.33
XY,,xy12-80,Evolutions,Trainer,Uncommon,80,Misty's Determination,,11/2/2016,0.09,,0.34,0.34
XY,,xy12-81,Evolutions,Trainer,Uncommon,81,Pidgeot Spirit Link,,11/2/2016,0.1,,1.39,1.39
XY,,xy12-82,Evolutions,Trainer,Uncommon,82,Pokédex,,11/2/2016,0.08,,1.06,1.06
XY,,xy12-83,Evolutions,Trainer,Uncommon,83,Potion,,11/2/2016,0.09,,1.55,1.55
XY,,xy12-84,Evolutions,Trainer,Uncommon,84,Professor Oak's Hint,,11/2/2016,0.11,,0.28,0.28
XY,,xy12-85,Evolutions,Trainer,Uncommon,85,Revive,,11/2/2016,0.09,,1.17,1.17
XY,,xy12-86,Evolutions,Trainer,Uncommon,86,Slowbro Spirit Link,,11/2/2016,0.09,,1.69,1.69
XY,,xy12-87,Evolutions,Trainer,Uncommon,87,Super Potion,,11/2/2016,0.09,,1.37,1.37
XY,,xy12-88,Evolutions,Trainer,Uncommon,88,Switch,,11/2/2016,0.2,,0.51,0.51
XY,,xy12-89,Evolutions,Trainer,Uncommon,89,Venusaur Spirit Link,,11/2/2016,0.1,,1.41,1.41
XY,,xy12-90,Evolutions,Energy,Uncommon,90,Double Colorless Energy,,11/2/2016,0.33,,1.66,1.66
XY,,xy12-91,Evolutions,Energy,Common,91,Grass Energy,,11/2/2016,0.24,,1.43,1.43
XY,,xy12-92,Evolutions,Energy,Common,92,Fire Energy,,11/2/2016,0.28,,2.22,2.22
XY,,xy12-93,Evolutions,Energy,Common,93,Water Energy,,11/2/2016,0.26,,2.61,2.61
XY,,xy12-94,Evolutions,Energy,Common,94,Lightning Energy,,11/2/2016,0.2,,2.26,2.26
XY,,xy12-95,Evolutions,Energy,Common,95,Psychic Energy,,11/2/2016,0.25,,2.46,2.46
XY,,xy12-96,Evolutions,Energy,Common,96,Fighting Energy,,11/2/2016,0.17,,1.59,1.59
XY,,xy12-97,Evolutions,Energy,Common,97,Darkness Energy,,11/2/2016,0.41,,2.91,2.91
XY,,xy12-98,Evolutions,Energy,Common,98,Metal Energy,,11/2/2016,0.31,,2.3,2.3
XY,,xy12-99,Evolutions,Energy,Common,99,Fairy Energy,,11/2/2016,0.34,,2.04,2.04
XY,,xy12-100,Evolutions,Pokémon,Rare Ultra,100,M Venusaur-EX,3,11/2/2016,,12.04,,12.04
XY,,xy12-101,Evolutions,Pokémon,Rare Ultra,101,M Charizard-EX,6,11/2/2016,,40.47,,40.47
XY,,xy12-102,Evolutions,Pokémon,Rare Ultra,102,M Blastoise-EX,9,11/2/2016,,13.9,,13.9
XY,,xy12-103,Evolutions,Pokémon,Rare Ultra,103,Mewtwo-EX,150,11/2/2016,,12.42,,12.42
XY,,xy12-104,Evolutions,Pokémon,Rare Ultra,104,Pidgeot-EX,18,11/2/2016,,3.92,,3.92
XY,,xy12-105,Evolutions,Pokémon,Rare Ultra,105,M Pidgeot-EX,18,11/2/2016,,4.81,,4.81
XY,,xy12-106,Evolutions,Pokémon,Rare Ultra,106,Dragonite-EX,149,11/2/2016,,13.16,,13.16
XY,,xy12-107,Evolutions,Trainer,Rare Ultra,107,Brock's Grit,,11/2/2016,,4.52,,4.52
XY,,xy12-108,Evolutions,Trainer,Rare Ultra,108,Misty's Determination,,11/2/2016,,10.65,,10.65
XY,,xy12-109,Evolutions,Pokémon,Rare Secret,109,ナッシー[Exeggutor],103,11/2/2016,0.86,,,0.86
XY,,xy12-110,Evolutions,Pokémon,Rare Secret,110,Flying Pikachu,25,11/2/2016,2.22,,,2.22
XY,,xy12-111,Evolutions,Pokémon,Rare Secret,111,Surfing Pikachu,25,11/2/2016,2.29,,,2.29
XY,,xy12-112,Evolutions,Pokémon,Rare Secret,112,Imakuni?'s Doduo,84,11/2/2016,0.87,,,0.87
XY,,xy12-113,Evolutions,Trainer,Rare Secret,113,Here Comes Team Rocket!,,11/2/2016,0.71,,,0.71
Sun & Moon,,sm1-1,Sun & Moon,Pokémon,Common,1,Caterpie,10,2/3/2017,0.05,,0.2,0.2
Sun & Moon,,sm1-2,Sun & Moon,Pokémon,Uncommon,2,Metapod,11,2/3/2017,0.06,,0.21,0.21
Sun & Moon,,sm1-3,Sun & Moon,Pokémon,Rare,3,Butterfree,12,2/3/2017,0.16,,0.33,0.33
Sun & Moon,,sm1-4,Sun & Moon,Pokémon,Common,4,Paras,46,2/3/2017,0.05,,0.18,0.18
Sun & Moon,,sm1-5,Sun & Moon,Pokémon,Rare,5,Parasect,47,2/3/2017,0.12,,0.25,0.25
Sun & Moon,,sm1-6,Sun & Moon,Pokémon,Uncommon,6,Pinsir,127,2/3/2017,0.09,,0.28,0.28
Sun & Moon,,sm1-7,Sun & Moon,Pokémon,Common,7,Surskit,283,2/3/2017,0.04,,0.17,0.17
Sun & Moon,,sm1-8,Sun & Moon,Pokémon,Rare,8,Masquerain,284,2/3/2017,0.11,,0.16,0.16
Sun & Moon,,sm1-9,Sun & Moon,Pokémon,Common,9,Rowlet,722,2/3/2017,0.06,,0.35,0.35
Sun & Moon,,sm1-10,Sun & Moon,Pokémon,Uncommon,10,Dartrix,723,2/3/2017,0.08,,0.23,0.23
Sun & Moon,,sm1-11,Sun & Moon,Pokémon,Rare,11,Decidueye,724,2/3/2017,0.14,,0.26,0.26
Sun & Moon,,sm1-12,Sun & Moon,Pokémon,Rare Holo GX,12,Decidueye-GX,724,2/3/2017,,2.03,,2.03
Sun & Moon,,sm1-13,Sun & Moon,Pokémon,Common,13,Grubbin,736,2/3/2017,0.06,,0.24,0.24
Sun & Moon,,sm1-14,Sun & Moon,Pokémon,Common,14,Fomantis,753,2/3/2017,0.06,,0.23,0.23
Sun & Moon,,sm1-15,Sun & Moon,Pokémon,Rare Holo GX,15,Lurantis-GX,754,2/3/2017,,1.64,,1.64
Sun & Moon,,sm1-16,Sun & Moon,Pokémon,Common,16,Morelull,755,2/3/2017,0.05,,0.17,0.17
Sun & Moon,,sm1-17,Sun & Moon,Pokémon,Rare Holo,17,Shiinotic,756,2/3/2017,,0.5,0.63,0.63
Sun & Moon,,sm1-18,Sun & Moon,Pokémon,Common,18,Bounsweet,761,2/3/2017,0.04,,0.19,0.19
Sun & Moon,,sm1-19,Sun & Moon,Pokémon,Uncommon,19,Steenee,762,2/3/2017,0.06,,0.26,0.26
Sun & Moon,,sm1-20,Sun & Moon,Pokémon,Rare Holo,20,Tsareena,763,2/3/2017,,0.37,0.51,0.51
Sun & Moon,,sm1-21,Sun & Moon,Pokémon,Common,21,Growlithe,58,2/3/2017,0.08,,0.28,0.28
Sun & Moon,,sm1-22,Sun & Moon,Pokémon,Rare Holo,22,Arcanine,59,2/3/2017,,0.82,0.88,0.88
Sun & Moon,,sm1-23,Sun & Moon,Pokémon,Common,23,Torkoal,324,2/3/2017,0.06,,0.19,0.19
Sun & Moon,,sm1-24,Sun & Moon,Pokémon,Common,24,Litten,725,2/3/2017,0.05,,0.22,0.22
Sun & Moon,,sm1-25,Sun & Moon,Pokémon,Uncommon,25,Torracat,726,2/3/2017,0.14,,0.25,0.25
Sun & Moon,,sm1-26,Sun & Moon,Pokémon,Rare,26,Incineroar,727,2/3/2017,0.22,,0.26,0.26
Sun & Moon,,sm1-27,Sun & Moon,Pokémon,Rare Holo GX,27,Incineroar-GX,727,2/3/2017,,4.04,,4.04
Sun & Moon,,sm1-28,Sun & Moon,Pokémon,Common,28,Psyduck,54,2/3/2017,0.09,,0.33,0.33
Sun & Moon,,sm1-29,Sun & Moon,Pokémon,Rare,29,Golduck,55,2/3/2017,0.12,,0.29,0.29
Sun & Moon,,sm1-30,Sun & Moon,Pokémon,Common,30,Poliwag,60,2/3/2017,0.11,,0.22,0.22
Sun & Moon,,sm1-31,Sun & Moon,Pokémon,Uncommon,31,Poliwhirl,61,2/3/2017,0.09,,0.28,0.28
Sun & Moon,,sm1-32,Sun & Moon,Pokémon,Rare Holo,32,Poliwrath,62,2/3/2017,,0.49,0.71,0.71
Sun & Moon,,sm1-33,Sun & Moon,Pokémon,Common,33,Shellder,90,2/3/2017,0.06,,0.2,0.2
Sun & Moon,,sm1-34,Sun & Moon,Pokémon,Rare,34,Cloyster,91,2/3/2017,0.12,,0.32,0.32
Sun & Moon,,sm1-35,Sun & Moon,Pokémon,Rare Holo GX,35,Lapras-GX,131,2/3/2017,,1.75,,1.75
Sun & Moon,,sm1-36,Sun & Moon,Pokémon,Uncommon,36,Corsola,222,2/3/2017,0.06,,0.17,0.17
Sun & Moon,,sm1-37,Sun & Moon,Pokémon,Common,37,Wingull,278,2/3/2017,0.04,,0.17,0.17
Sun & Moon,,sm1-38,Sun & Moon,Pokémon,Uncommon,38,Pelipper,279,2/3/2017,0.07,,0.18,0.18
Sun & Moon,,sm1-39,Sun & Moon,Pokémon,Common,39,Popplio,728,2/3/2017,0.06,,0.25,0.25
Sun & Moon,,sm1-40,Sun & Moon,Pokémon,Uncommon,40,Brionne,729,2/3/2017,0.11,,0.25,0.25
Sun & Moon,,sm1-41,Sun & Moon,Pokémon,Rare,41,Primarina,730,2/3/2017,0.15,,0.26,0.26
Sun & Moon,,sm1-42,Sun & Moon,Pokémon,Rare Holo GX,42,Primarina-GX,730,2/3/2017,,2.08,,2.08
Sun & Moon,,sm1-43,Sun & Moon,Pokémon,Rare,43,Crabominable,740,2/3/2017,0.1,,0.28,0.28
Sun & Moon,,sm1-44,Sun & Moon,Pokémon,Uncommon,44,Wishiwashi,746,2/3/2017,0.06,,0.23,0.23
Sun & Moon,,sm1-45,Sun & Moon,Pokémon,Common,45,Dewpider,751,2/3/2017,0.06,,0.2,0.2
Sun & Moon,,sm1-46,Sun & Moon,Pokémon,Uncommon,46,Araquanid,752,2/3/2017,0.07,,0.2,0.2
Sun & Moon,,sm1-47,Sun & Moon,Pokémon,Uncommon,47,Pyukumuku,771,2/3/2017,0.08,,0.27,0.27
Sun & Moon,,sm1-48,Sun & Moon,Pokémon,Rare,48,Bruxish,779,2/3/2017,0.11,,0.26,0.26
Sun & Moon,,sm1-49,Sun & Moon,Pokémon,Common,49,Chinchou,170,2/3/2017,0.04,,0.2,0.2
Sun & Moon,,sm1-50,Sun & Moon,Pokémon,Rare,50,Lanturn,171,2/3/2017,0.09,,0.21,0.21
Sun & Moon,,sm1-51,Sun & Moon,Pokémon,Uncommon,51,Charjabug,737,2/3/2017,0.07,,0.17,0.17
Sun & Moon,,sm1-52,Sun & Moon,Pokémon,Rare Holo,52,Vikavolt,738,2/3/2017,,0.38,0.69,0.69
Sun & Moon,,sm1-53,Sun & Moon,Pokémon,Common,53,Togedemaru,777,2/3/2017,0.06,,0.2,0.2
Sun & Moon,,sm1-54,Sun & Moon,Pokémon,Common,54,Zubat,41,2/3/2017,0.07,,0.18,0.18
Sun & Moon,,sm1-55,Sun & Moon,Pokémon,Uncommon,55,Golbat,42,2/3/2017,0.08,,0.19,0.19
Sun & Moon,,sm1-56,Sun & Moon,Pokémon,Rare Holo,56,Crobat,169,2/3/2017,,0.43,0.6,0.6
Sun & Moon,,sm1-57,Sun & Moon,Pokémon,Common,57,Alolan Grimer,88,2/3/2017,0.07,,0.24,0.24
Sun & Moon,,sm1-58,Sun & Moon,Pokémon,Rare Holo,58,Alolan Muk,89,2/3/2017,,0.76,0.64,0.76
Sun & Moon,,sm1-59,Sun & Moon,Pokémon,Common,59,Drowzee,96,2/3/2017,0.05,,0.25,0.25
Sun & Moon,,sm1-60,Sun & Moon,Pokémon,Uncommon,60,Hypno,97,2/3/2017,0.1,,0.19,0.19
Sun & Moon,,sm1-61,Sun & Moon,Pokémon,Rare Holo GX,61,Espeon-GX,196,2/3/2017,,2.24,,2.24
Sun & Moon,,sm1-62,Sun & Moon,Pokémon,Common,62,Mareanie,747,2/3/2017,0.07,,0.25,0.25
Sun & Moon,,sm1-63,Sun & Moon,Pokémon,Rare Holo,63,Toxapex,748,2/3/2017,,0.45,0.67,0.67
Sun & Moon,,sm1-64,Sun & Moon,Pokémon,Common,64,Cosmog,789,2/3/2017,0.07,,0.26,0.26
Sun & Moon,,sm1-65,Sun & Moon,Pokémon,Rare,65,Cosmoem,790,2/3/2017,0.15,,0.28,0.28
Sun & Moon,,sm1-66,Sun & Moon,Pokémon,Rare Holo GX,66,Lunala-GX,792,2/3/2017,,3.31,,3.31
Sun & Moon,,sm1-67,Sun & Moon,Pokémon,Common,67,Makuhita,296,2/3/2017,0.03,,0.17,0.17
Sun & Moon,,sm1-68,Sun & Moon,Pokémon,Rare,68,Hariyama,297,2/3/2017,0.13,,0.24,0.24
Sun & Moon,,sm1-69,Sun & Moon,Pokémon,Common,69,Roggenrola,524,2/3/2017,0.04,,0.18,0.18
Sun & Moon,,sm1-70,Sun & Moon,Pokémon,Uncommon,70,Boldore,525,2/3/2017,0.07,,0.21,0.21
Sun & Moon,,sm1-71,Sun & Moon,Pokémon,Rare Holo,71,Gigalith,526,2/3/2017,,0.38,0.47,0.47
Sun & Moon,,sm1-72,Sun & Moon,Pokémon,Common,72,Crabrawler,739,2/3/2017,0.04,,0.18,0.18
Sun & Moon,,sm1-73,Sun & Moon,Pokémon,Uncommon,73,Passimian,766,2/3/2017,0.05,,0.18,0.18
Sun & Moon,,sm1-74,Sun & Moon,Pokémon,Common,74,Sandygast,769,2/3/2017,0.04,,0.22,0.22
Sun & Moon,,sm1-75,Sun & Moon,Pokémon,Rare,75,Palossand,770,2/3/2017,0.12,,0.26,0.26
Sun & Moon,,sm1-76,Sun & Moon,Pokémon,Common,76,Alolan Rattata,19,2/3/2017,0.07,,0.24,0.24
Sun & Moon,,sm1-77,Sun & Moon,Pokémon,Uncommon,77,Alolan Raticate,20,2/3/2017,0.1,,0.21,0.21
Sun & Moon,,sm1-78,Sun & Moon,Pokémon,Common,78,Alolan Meowth,52,2/3/2017,0.07,,0.17,0.17
Sun & Moon,,sm1-79,Sun & Moon,Pokémon,Uncommon,79,Alolan Persian,53,2/3/2017,0.09,,0.26,0.26
Sun & Moon,,sm1-80,Sun & Moon,Pokémon,Rare Holo GX,80,Umbreon-GX,197,2/3/2017,,5.79,,5.79
Sun & Moon,,sm1-81,Sun & Moon,Pokémon,Common,81,Carvanha,318,2/3/2017,0.07,,0.19,0.19
Sun & Moon,,sm1-82,Sun & Moon,Pokémon,Rare Holo,82,Sharpedo,319,2/3/2017,,0.46,0.57,0.57
Sun & Moon,,sm1-83,Sun & Moon,Pokémon,Common,83,Sandile,551,2/3/2017,0.06,,0.13,0.13
Sun & Moon,,sm1-84,Sun & Moon,Pokémon,Uncommon,84,Krokorok,552,2/3/2017,0.07,,0.19,0.19
Sun & Moon,,sm1-85,Sun & Moon,Pokémon,Rare Holo,85,Krookodile,553,2/3/2017,,0.28,0.3,0.3
Sun & Moon,,sm1-86,Sun & Moon,Pokémon,Common,86,Alolan Diglett,50,2/3/2017,0.04,,0.26,0.26
Sun & Moon,,sm1-87,Sun & Moon,Pokémon,Rare Holo,87,Alolan Dugtrio,51,2/3/2017,,0.42,0.37,0.42
Sun & Moon,,sm1-88,Sun & Moon,Pokémon,Common,88,Skarmory,227,2/3/2017,0.04,,0.2,0.2
Sun & Moon,,sm1-89,Sun & Moon,Pokémon,Rare Holo GX,89,Solgaleo-GX,791,2/3/2017,,5.19,,5.19
Sun & Moon,,sm1-90,Sun & Moon,Pokémon,Common,90,Snubbull,209,2/3/2017,0.04,,0.19,0.19
Sun & Moon,,sm1-91,Sun & Moon,Pokémon,Uncommon,91,Granbull,210,2/3/2017,0.08,,0.2,0.2
Sun & Moon,,sm1-92,Sun & Moon,Pokémon,Common,92,Cutiefly,742,2/3/2017,0.05,,0.18,0.18
Sun & Moon,,sm1-93,Sun & Moon,Pokémon,Rare Holo,93,Ribombee,743,2/3/2017,,0.29,0.37,0.37
Sun & Moon,,sm1-94,Sun & Moon,Pokémon,Common,94,Dratini,147,2/3/2017,0.11,,0.28,0.28
Sun & Moon,,sm1-95,Sun & Moon,Pokémon,Uncommon,95,Dragonair,148,2/3/2017,0.26,,0.37,0.37
Sun & Moon,,sm1-96,Sun & Moon,Pokémon,Rare Holo,96,Dragonite,149,2/3/2017,,0.72,0.76,0.76
Sun & Moon,,sm1-97,Sun & Moon,Pokémon,Common,97,Spearow,21,2/3/2017,0.04,,0.18,0.18
Sun & Moon,,sm1-98,Sun & Moon,Pokémon,Common,98,Fearow,22,2/3/2017,0.04,,0.22,0.22
Sun & Moon,,sm1-99,Sun & Moon,Pokémon,Rare Holo,99,Kangaskhan,115,2/3/2017,,0.3,0.26,0.3
Sun & Moon,,sm1-100,Sun & Moon,Pokémon,Rare Holo GX,100,Tauros-GX,128,2/3/2017,,1.68,,1.68
Sun & Moon,,sm1-101,Sun & Moon,Pokémon,Common,101,Eevee,133,2/3/2017,0.17,,0.55,0.55
Sun & Moon,,sm1-102,Sun & Moon,Pokémon,Uncommon,102,Spinda,327,2/3/2017,0.07,,0.24,0.24
Sun & Moon,,sm1-103,Sun & Moon,Pokémon,Common,103,Lillipup,506,2/3/2017,0.04,,0.18,0.18
Sun & Moon,,sm1-104,Sun & Moon,Pokémon,Uncommon,104,Herdier,507,2/3/2017,0.08,,0.22,0.22
Sun & Moon,,sm1-105,Sun & Moon,Pokémon,Rare,105,Stoutland,508,2/3/2017,0.11,,0.23,0.23
Sun & Moon,,sm1-106,Sun & Moon,Pokémon,Common,106,Pikipek,731,2/3/2017,0.06,,0.18,0.18
Sun & Moon,,sm1-107,Sun & Moon,Pokémon,Uncommon,107,Trumbeak,732,2/3/2017,0.06,,0.2,0.2
Sun & Moon,,sm1-108,Sun & Moon,Pokémon,Rare,108,Toucannon,733,2/3/2017,0.11,,0.25,0.25
Sun & Moon,,sm1-109,Sun & Moon,Pokémon,Common,109,Yungoos,734,2/3/2017,0.03,,0.18,0.18
Sun & Moon,,sm1-110,Sun & Moon,Pokémon,Rare Holo GX,110,Gumshoos-GX,735,2/3/2017,,1.21,,1.21
Sun & Moon,,sm1-111,Sun & Moon,Pokémon,Common,111,Stufful,759,2/3/2017,0.05,,0.22,0.22
Sun & Moon,,sm1-112,Sun & Moon,Pokémon,Rare,112,Bewear,760,2/3/2017,0.12,,0.22,0.22
Sun & Moon,,sm1-113,Sun & Moon,Pokémon,Rare Holo,113,Oranguru,765,2/3/2017,,0.4,0.4,0.4
Sun & Moon,,sm1-114,Sun & Moon,Trainer,Uncommon,114,Big Malasada,,2/3/2017,0.1,,0.18,0.18
Sun & Moon,,sm1-115,Sun & Moon,Trainer,Uncommon,115,Crushing Hammer,,2/3/2017,0.25,,0.51,0.51
